unit_number	unit_name	section_number	section_name	content	level	has_analysis	prerequisites	difficulty_level	difficulty_score	difficulty_confidence	complexity_factors	bloom_level	bloom_confidence	cognitive_processes	educational_standards	cross_disciplinary_connections
Unit 7	Electricity and Magnetism	7.61	Electric Generators	"Mechanical to electrical.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 20.2: Motors, Generators, and Transformers; College Physics 2e, Chapter 23.5: Electric Generators"	undergraduate	Yes	"Magnetic fields and magnetic flux; Electromagnetic induction and Faraday's law; Basic electric circuits and Ohm's law; Rotational motion and angular velocity; Vector quantities and direction; Basic mechanics (force, work, energy); DC/AC current concepts"	intermediate	6	0.85	Requires understanding of electromagnetic induction; Involves rotating mechanical systems; Needs knowledge of AC/DC current concepts; Requires visualization of changing magnetic fields; Mathematical relationships between rotation and induced EMF	understand	0.85	explaining the conversion process; describing electromagnetic induction; interpreting how mechanical motion creates electrical current; classifying energy transformations	NGSS: HS-PS3-5; AP Physics 2: 4.E.2; AP Physics C: E&M: 3.C	Mathematics (strong); Engineering (strong); Environmental Science (moderate); Chemistry (moderate); Economics (moderate)
Unit 7	Electricity and Magnetism	7.62	Back EMF	"Motor counter-EMF.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 20.2: Motors, Generators, and Transformers; College Physics 2e, Chapter 23.6: Back Emf"	undergraduate	Yes	Electromagnetic induction; Faraday's law; Lenz's law; Electric circuits; Magnetic fields; DC motors basic operation; Voltage and EMF concepts; Basic calculus (rate of change); Vector quantities	intermediate	6	0.85	Requires understanding of electromagnetic induction; Involves dynamic analysis of moving circuits; Combines multiple electromagnetic concepts; Requires visualization of opposing magnetic fields; Applications to real-world motor operation	understand	0.9	explaining; interpreting; describing; classifying	NGSS: HS-PS3-5; AP Physics 2: 5.B.9.5; AP Physics C: Electricity & Magnetism: 4.E.3	Mathematics (strong); Engineering (strong); Chemistry (moderate); Computer Science (moderate); Technology/Industrial Arts (strong)
Unit 7	Electricity and Magnetism	7.63	Transformers	"Voltage transformation.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 20.2: Motors, Generators, and Transformers; College Physics 2e, Chapter 23.7: Transformers"	undergraduate	Yes	"Basic electricity concepts (voltage, current, resistance); Electromagnetic induction; Faraday's law; AC circuits; Magnetic fields and flux; Basic algebra; Ratio and proportion"	intermediate	6	0.9	Requires understanding of electromagnetic induction; Involves mathematical relationships between primary and secondary coils; Needs comprehension of magnetic flux and changing magnetic fields; Requires understanding of power conservation principles; Application of step-up and step-down transformations	understand	0.9	explaining voltage step-up/step-down; interpreting transformer ratios; describing electromagnetic induction principles; summarizing energy transfer in transformers	NGSS: HS-PS3-5; AP Physics 2: 5.B.9.5; AP Physics 2: 4.E.2.1	Mathematics (strong); Engineering (strong); Chemistry (moderate); Economics (moderate); Environmental Science (moderate)
Unit 7	Electricity and Magnetism	7.64	Mutual Inductance	"Coil coupling.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.9: Inductance; University Physics Volume 2, Chapter 14.1: Mutual Inductance"	undergraduate	Yes	Magnetic fields and magnetic flux; Electromagnetic induction; Faraday's law; Lenz's law; Self-inductance; Basic circuit analysis; Vector calculus (flux integrals); Differential equations (basic)	intermediate	6	0.85	Abstract concept of magnetic flux linkage; Mathematical relationships between coupled coils; Understanding of electromagnetic induction; Vector nature of magnetic fields; Geometric considerations of coil positioning	understand	0.85	explaining mutual inductance relationships; interpreting magnetic flux coupling; describing electromagnetic induction between coils; classifying factors affecting mutual inductance	AP Physics C: Electricity and Magnetism: III.C.3; ABET Engineering Criteria: 3.a.3	Mathematics (strong); Electrical Engineering (strong); Materials Science (moderate); Communications Engineering (moderate); Computer Science (moderate)
Unit 7	Electricity and Magnetism	7.65	Self-Inductance	"Single coil inductance.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.9: Inductance; University Physics Volume 2, Chapter 14.2: Self-Inductance and Inductors"	undergraduate	Yes	Magnetic fields; Magnetic flux; Faraday's law of electromagnetic induction; Electromagnetic fields; Basic calculus (derivatives); Electric current and voltage; Basic circuit concepts; Lenz's law	intermediate	6	0.9	"Requires understanding of electromagnetic induction; Involves calculus concepts (rate of change); Abstract concept of a coil inducing EMF in itself; Mathematical relationships between current, flux, and inductance; Need to visualize magnetic fields and flux in 3D"	understand	0.85	interpreting relationships between current and magnetic flux; explaining self-induced emf; describing how inductors work; understanding mathematical relationships	AP Physics C: Electricity and Magnetism: III.D.4; AP Physics C: Electricity and Magnetism: III.D.1; AAPT Physics Standards (College): 5.D.3	Mathematics (strong); Electrical Engineering (strong); Materials Science (moderate); Chemistry (weak); Computer Science (moderate)
Unit 7	Electricity and Magnetism	7.66	Magnetic Field Energy	"Inductor energy.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.9: Inductance; University Physics Volume 2, Chapter 14.3: Energy in a Magnetic Field"	undergraduate	Yes	"Magnetic fields and magnetic flux; Inductance and inductors; Electric circuits fundamentals; Calculus (integration); Basic electricity concepts (current, voltage); Electromagnetic induction; Faraday's law; Lenz's law"	intermediate	6	0.85	Requires understanding of magnetic fields and flux; Involves calculus concepts and integration; Needs prior knowledge of inductance; Abstract concept of energy storage in fields; Requires understanding of current-field relationships	understand	0.8	interpreting magnetic field energy concepts; explaining relationships between current and stored energy; describing how inductors store energy in magnetic fields	AP Physics C: Electricity and Magnetism: III.E.2; AP Physics C: Electricity and Magnetism: III.E.1; AAPT Recommendations for Physics in Two-Year Colleges: E&M.6.3	Mathematics (strong); Electrical Engineering (strong); Chemistry (moderate); Materials Science (moderate); Computer Science (moderate)
Unit 7	Electricity and Magnetism	7.67	RL Circuits	"Inductive circuits.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.10: RL Circuits; University Physics Volume 2, Chapter 14.4: RL Circuits"	undergraduate	Yes	Basic electrical circuits; Ohm's law; Kirchhoff's laws; Electromagnetic induction; Differential equations (basic); Inductance and inductors; DC circuit analysis; Vector calculus (basic); Time-varying currents; Series and parallel circuits	intermediate	6	0.9	Understanding inductance and magnetic fields; Mathematical analysis of differential equations; Time-dependent behavior; Circuit analysis skills required; Abstract concept of electromagnetic induction	analyze	0.9	differentiate between resistive and inductive components; analyze circuit behavior over time; calculate time constants; interpret exponential decay/growth; organize circuit elements	AP Physics C: Electricity and Magnetism: III.D.1; AP Physics C: Electricity and Magnetism: III.D.2; AAPT Recommendations for Physics in Two-Year Colleges: E&M.6	Mathematics (strong); Electrical Engineering (strong); Chemistry (moderate); Biology (moderate); Computer Science (moderate)
Unit 7	Electricity and Magnetism	7.68	LC Circuits	"Oscillatory circuits.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.12: RLC Series AC Circuits; University Physics Volume 2, Chapter 14.5: Oscillations in an LC Circuit"	undergraduate	Yes	Electric charge and electric field; Current and voltage; Capacitors and capacitance; Inductors and inductance; Simple harmonic motion; Differential equations (basic); Circuit analysis (Kirchhoff's laws); Energy in electric and magnetic fields	intermediate	6	0.9	Requires understanding of both inductors and capacitors; Involves differential equations; Requires knowledge of energy conservation; Uses complex mathematical concepts like angular frequency; Analogous to mechanical oscillations but more abstract	analyze	0.9	differentiating between capacitive and inductive behaviors; organizing circuit elements and their relationships; examining energy exchange between L and C components; integrating mathematical models with physical principles	AP Physics C: Electricity and Magnetism: III.E.1; AP Physics C: Electricity and Magnetism: III.E.2; NGSS: HS-PS3-1	Mathematics (strong); Engineering (strong); Chemistry (moderate); Biology (weak); Music (moderate)
Unit 7	Electricity and Magnetism	7.69	RLC Circuits	"Damped circuits.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.12: RLC Series AC Circuits; University Physics Volume 2, Chapter 14.6: RLC Series Circuits"	undergraduate	Yes	"Basic electrical circuit concepts (voltage, current, resistance); Ohm's Law; Kirchhoff's Laws; Inductors and inductance (L); Capacitors and capacitance (C); Resistors (R); Differential equations; Complex numbers and phasors; AC circuit analysis; Simple harmonic motion concepts"	advanced	8	0.9	"Requires strong calculus background; Combines multiple circuit elements (R, L, C); Involves differential equations; Need understanding of phase relationships; Complex behavior with damping effects; Multiple mathematical models needed"	analyze	0.9	"differentiating between circuit behaviors; organizing components and their relationships; attributing effects to different components; integrating multiple concepts (resistance, inductance, capacitance); analyzing differential equations"	AP Physics 2: 5.B.9; AP Physics C: Electricity & Magnetism: II.E; AP Physics C: Electricity & Magnetism: II.F	Mathematics (strong); Engineering (strong); Biology (moderate); Mechanical Engineering (strong); Music (moderate)
Unit 7	Electricity and Magnetism	7.70	AC Generation	"Alternating current.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 20.2: Motors, Generators, and Transformers; College Physics 2e, Chapter 20.5: Alternating Current versus Direct Current"	undergraduate	Yes	Electric charge and current; Basic electrical circuits; Magnetic fields; Electromagnetic induction; Faraday's law; Trigonometry (sine functions); Vector concepts; Basic calculus (for undergraduate level)	intermediate	6	0.85	"Requires understanding of electromagnetic induction; Involves mathematical concepts like sinusoidal functions; Needs comprehension of frequency, period, and phase; Requires visualization of rotating magnetic fields; Includes abstract concepts of voltage/current relationships"	understand	0.9	explaining the mechanism of AC generation; describing how AC voltage/current varies with time; interpreting AC waveforms; comparing AC to DC	NGSS: HS-PS3-5; NGSS: HS-PS2-5; AP Physics 2: 5.B.9; AP Physics C: Electricity and Magnetism: III.E.1	Mathematics (strong); Engineering (strong); Environmental Science (moderate); Economics (moderate); History (weak)
Unit 7	Electricity and Magnetism	7.71	AC Characteristics	"Sinusoidal behavior.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 20.5: Alternating Current versus Direct Current; University Physics Volume 2, Chapter 15.1: AC Sources"	undergraduate	Yes	"Trigonometry and sinusoidal functions; Basic electricity concepts (voltage, current, resistance); Vector representation; Phase angles; DC circuit analysis; Basic calculus (derivatives and integrals); Complex numbers"	intermediate	6	0.85	"Requires understanding of trigonometric functions; Involves time-varying quantities; Needs vector/phasor representation comprehension; Requires calculus concepts for full understanding; Multiple parameters to consider (amplitude, frequency, phase)"	understand	0.9	interpreting sinusoidal waveforms; explaining periodic behavior; describing AC characteristics; comparing AC and DC behavior	NGSS: HS-PS2-5; AP Physics 2: 5.B.9.5; AP Physics C: E&M: II.E.1	Mathematics (strong); Engineering (strong); Music (moderate); Biology (moderate); Earth Science (weak)
Unit 7	Electricity and Magnetism	7.72	AC Circuit Analysis	"Impedance, phase.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.12: RLC Series AC Circuits; University Physics Volume 2, Chapter 15.2: Simple AC Circuits"	undergraduate	Yes	"Complex numbers and complex algebra; Basic calculus (derivatives); DC circuit analysis; Ohm's Law; Kirchhoff's Laws; Inductors and capacitors; Sinusoidal functions; Phase angles and trigonometry; Vector representation; Basic electrical quantities (voltage, current, resistance)"	advanced	8	0.95	"Requires strong mathematical foundation in complex numbers; Involves understanding of phase relationships; Combines multiple circuit elements (R, L, C); Requires vector analysis and phasor diagrams; Abstract concepts of reactance and impedance; Time-varying analysis"	analyze	0.9	"breaking down circuit components; determining relationships between impedance and phase; calculating complex quantities; differentiating between resistive, capacitive, and inductive effects"	AP Physics 2: 5.B.9; AP Physics C: Electricity and Magnetism: II.E; ABET Engineering Criteria: 3.a.3	Mathematics (strong); Engineering (strong); Chemistry (moderate); Biology (moderate); Music (moderate)
Unit 7	Electricity and Magnetism	7.73	AC Resonance	"Maximum current.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 23.12: RLC Series AC Circuits; University Physics Volume 2, Chapter 15.5: Resonance in an AC Circuit"	undergraduate	Yes	Complex numbers and phasors; AC circuit fundamentals; RLC circuit analysis; Kirchhoff's laws; Impedance concepts; Basic calculus (derivatives); Ohm's law for AC circuits; Inductance and capacitance basics; Phase relationships in AC circuits	intermediate	6	0.85	Requires understanding of AC circuit basics; Involves mathematical analysis of resonance conditions; Combines multiple circuit elements (RLC); Requires understanding of phase relationships; Uses calculus concepts for maximum current analysis	apply	0.85	calculate maximum current values; implement resonance frequency formulas; use mathematical relationships; predict circuit behavior at resonance	AP Physics 2: 5.B.9; AP Physics C: Electricity & Magnetism: II.E.4; AAPT Physics Standards: E4.3	Mathematics (strong); Engineering (strong); Music (moderate); Biology (weak); Chemistry (moderate)
Unit 7	Electricity and Magnetism	7.74	AC Power	"Average, reactive power.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 20.4: Electric Power and Energy; University Physics Volume 2, Chapter 15.4: Power in an AC Circuit"	undergraduate	Yes	"Complex numbers and algebra; Trigonometry and phase angles; Basic circuit elements (resistors, capacitors, inductors); Ohm's Law; AC voltage and current; Phase relationships in AC circuits; RLC circuits; Power in DC circuits; Vector analysis"	intermediate	6	0.9	"Complex number mathematics required; Phase relationships understanding needed; Multiple power types (real, reactive, apparent); Vector/phasor analysis; Abstract concepts like reactive power"	apply	0.9	calculating power values; implementing formulas; solving complex circuit problems; distinguishing between average and reactive power	AP Physics 2: 5.B.9; AP Physics C: Electricity and Magnetism: II.E.1; ABET Engineering Criteria: 3.a	Mathematics (strong); Electrical Engineering (strong); Economics (moderate); Environmental Science (moderate); Chemistry (weak)
Unit 7	Electricity and Magnetism	7.75	Induction Applications	"Motors, generators.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 20.2: Motors, Generators, and Transformers; College Physics 2e, Chapter 23.5: Electric Generators"	undergraduate	Yes	Magnetic fields and magnetic force; Electromagnetic induction; Faraday's law; Lenz's law; Basic electric circuits; DC current and voltage; Angular motion and rotational mechanics; Vector mathematics; Basic trigonometry	intermediate	6	0.9	"Requires understanding of electromagnetic induction; Involves multiple physics concepts (magnetism, electricity, mechanical energy); Requires visualization of 3D motion and field interactions; Applications involve real-world machinery and practical considerations; Mathematical relationships between voltage, current, and motion"	apply	0.9	implementing principles of electromagnetic induction; explaining relationships between motion and induced current; demonstrating how motors/generators convert energy; solving problems involving electromagnetic induction	NGSS: HS-PS2-5; NGSS: HS-PS3-5; AP Physics 2: 4.E.2; AP Physics C: Electricity and Magnetism: 3.C	Engineering (strong); Mathematics (strong); Environmental Science (moderate); Chemistry (moderate); History (moderate)
Unit 7	Electricity and Magnetism	7.76	Maxwell’s Equations	"Electromagnetism framework.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.1: Maxwell’s Equations: Electromagnetic Waves Predicted and Observed; University Physics Volume 2, Chapter 16.1: Maxwell’s Equations and Electromagnetic Waves"	undergraduate	Yes	Vector Calculus; Differential Equations; Electric Fields; Magnetic Fields; Gauss's Law; Ampère's Law; Faraday's Law of Induction; Electric Flux; Magnetic Flux; Electric and Magnetic Field Relations; Basic Electrostatics; Basic Magnetostatics	advanced	8	0.95	Requires strong mathematical foundation (vector calculus); Abstract conceptual understanding needed; Integration of multiple electromagnetic concepts; Complex differential equations involved; Requires understanding of both electric and magnetic fields; Needs prior knowledge of electromagnetic theory	analyze	0.9	interpreting relationships between fields; differentiating between electric and magnetic components; integrating multiple concepts; examining interconnections	AP Physics C: Electricity & Magnetism: III.C; AP Physics C: Electricity & Magnetism: III.D; AAPT Recommendations for Physics Programs: E&M.4	Mathematics (strong); Chemistry (strong); Computer Science (moderate); Engineering (strong); Biology (moderate)
Unit 7	Electricity and Magnetism	7.76.1	Gauss’s Law for Electricity	"Electric flux-charge.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.1: Maxwell’s Equations: Electromagnetic Waves Predicted and Observed; University Physics Volume 2, Chapter 16.1: Maxwell’s Equations and Electromagnetic Waves"	undergraduate	Yes	Electric field concepts; Vector calculus (dot product); Surface integrals; Electric charge properties; Coulomb's law; Vector fields; Basic calculus concepts; Closed surfaces and boundaries	intermediate	6	0.9	Requires solid understanding of vector calculus; Abstract visualization of electric fields and flux; Integration over surfaces; Conceptual understanding of charge distribution; Application of symmetry principles	understand	0.9	interpreting relationships between electric field and flux; explaining physical principles; recognizing patterns in electromagnetic behavior; translating mathematical expressions to physical concepts	NGSS: HS-PS2-4; AP Physics C: Electricity & Magnetism: III.A; AP Physics C: Electricity & Magnetism: III.B	Mathematics (strong); Chemistry (strong); Biology (moderate); Computer Science (moderate); Engineering (strong)
Unit 7	Electricity and Magnetism	7.76.2	Gauss’s Law for Magnetism	"No monopoles.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.1: Maxwell’s Equations: Electromagnetic Waves Predicted and Observed; University Physics Volume 2, Chapter 16.1: Maxwell’s Equations and Electromagnetic Waves"	undergraduate	Yes	Vector calculus (divergence and flux); Magnetic field concepts (B-field); Surface and volume integrals; Magnetic field lines; Basic electromagnetism; Vector fields; Magnetic dipoles	intermediate	6	0.9	Abstract mathematical concept; Requires understanding of magnetic fields and flux; Conceptual challenge of non-existence of magnetic monopoles; Connection to divergence in vector calculus; Integration with other Maxwell's equations	understand	0.9	interpreting; explaining; summarizing	AP Physics C: Electricity & Magnetism: III.B.1; AP Physics C: Electricity & Magnetism: III.A.2; NGSS: HS-PS2-5	Mathematics (strong); Chemistry (moderate); Computer Science (moderate); Philosophy of Science (weak)
Unit 7	Electricity and Magnetism	7.76.3	Faraday’s Law of Induction	"EMF from flux.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.1: Maxwell’s Equations: Electromagnetic Waves Predicted and Observed; University Physics Volume 2, Chapter 16.1: Maxwell’s Equations and Electromagnetic Waves"	undergraduate	Yes	"Magnetic field concepts; Magnetic flux; Electric fields and electric potential; Vector calculus (specifically flux integrals); Basic differential calculus; Electrostatic concepts; Lenz's law; Basic circuit concepts (EMF, voltage); Vector dot products"	intermediate	6	0.9	Requires understanding of magnetic flux concepts; Involves mathematical relationships between changing magnetic fields and induced EMF; Needs visualization of electromagnetic induction; Requires calculus knowledge (derivatives); Application of right-hand rule and field direction	understand	0.9	interpreting; explaining; describing; classifying	NGSS: HS-PS2-5; AP Physics C: Electricity and Magnetism: III.B.1; AP Physics C: Electricity and Magnetism: III.B.2	Mathematics (strong); Engineering (strong); Chemistry (moderate); Medicine (moderate); Earth Science (moderate)
Unit 7	Electricity and Magnetism	7.76.4	Ampère’s Law with Correction	"Current, electric fields.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.1: Maxwell’s Equations: Electromagnetic Waves Predicted and Observed; University Physics Volume 2, Chapter 16.1: Maxwell’s Equations and Electromagnetic Waves"	undergraduate	Yes	Magnetic fields and magnetic flux; Electric fields and electric flux; Gauss's law; Basic calculus (derivatives and integrals); Vector calculus (curl and divergence); Basic Ampère's law; Displacement current; Electric field induced by changing magnetic fields (Faraday's law); Basic electromagnetic theory; Circuit theory fundamentals	advanced	8	0.9	Requires strong calculus background; Involves abstract conceptual understanding of fields; Combines multiple electromagnetic concepts; Requires understanding of Maxwell's correction term; Involves differential equations; Needs prior knowledge of basic electromagnetic theory	analyze	0.9	interpreting relationships; comparing components; integrating concepts; differentiating variables	AP Physics C: Electricity & Magnetism: III.C; AP Physics C: Electricity & Magnetism: III.D; AAPT Learning Outcomes: Advanced Lab: E-M.4.2	Mathematics (strong); Chemistry (moderate); Biology (moderate); Engineering (strong); Computer Science (moderate)
Unit 7	Electricity and Magnetism	7.77	Plane EM Waves	"Wave propagation.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.2: Production of Electromagnetic Waves; University Physics Volume 2, Chapter 16.2: Plane Electromagnetic Waves"	undergraduate	Yes	"Vector calculus; Maxwell's equations; Electric fields; Magnetic fields; Wave equations; Differential equations; Trigonometry; Complex numbers; Basic calculus (derivatives and integrals); Wave properties (amplitude, frequency, wavelength, phase)"	intermediate	6	0.9	Requires understanding of both electric and magnetic fields; Involves vector calculus concepts; Needs visualization of 3D wave propagation; Requires prior knowledge of waves and oscillations; Mathematical treatment includes differential equations	understand	0.85	explaining wave propagation mechanisms; interpreting mathematical wave equations; describing electromagnetic wave characteristics; understanding relationship between electric and magnetic fields	NGSS: HS-PS4-1; NGSS: HS-PS4-3; AP Physics 2: 7.C.4.1; AP Physics C: E&M: 6.E.1	Mathematics (strong); Engineering (strong); Chemistry (moderate); Biology (moderate); Computer Science (moderate)
Unit 7	Electricity and Magnetism	7.78	EM Waves in Media	"Material propagation.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 24.2: Production of Electromagnetic Waves; University Physics Volume 2, Chapter 16.2: Plane Electromagnetic Waves"	undergraduate	Yes	Maxwell's equations; Wave equations; Electric and magnetic fields; Dielectric properties of materials; Complex permittivity; Vector calculus; Differential equations; Basic electromagnetic theory; Wave propagation fundamentals; Complex numbers	intermediate	6	0.85	Requires understanding of wave equations; Involves complex electromagnetic theory concepts; Needs mathematical analysis of wave propagation; Requires knowledge of material properties; Involves understanding of permittivity and permeability	understand	0.85	explaining wave propagation in different media; interpreting electromagnetic wave behavior; describing wave-material interactions; comparing propagation in different materials	NGSS: HS-PS4-1; AP Physics C: Electricity & Magnetism: IV.E.1; AP Physics C: Electricity & Magnetism: IV.E.4	Mathematics (strong); Chemistry (strong); Materials Science (strong); Engineering (strong); Biology (moderate)
Unit 7	Electricity and Magnetism	7.79	Radio Waves	"Low-frequency uses.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Waves and wave properties (amplitude, frequency, wavelength); Electromagnetic waves fundamentals; Understanding of electromagnetic spectrum; Basic electricity and magnetism concepts; Mathematical concepts of frequency and wavelength calculation; Understanding of energy in waves"	beginner	2	0.9	Basic wave concepts; Real-world applications; Simple frequency ranges; Everyday examples	understand	0.9	explaining the applications; describing characteristics; interpreting frequency relationships; classifying wave types	NGSS: HS-PS4-3; NGSS: HS-PS4-5; AP Physics 2: 6.A.1	Mathematics (strong); Earth Science (strong); Biology (moderate); Engineering (strong); Computer Science (strong); History (moderate)
Unit 7	Electricity and Magnetism	7.80	Microwaves	"Communication applications.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Electromagnetic waves fundamentals; Wave properties (frequency, wavelength, amplitude); Basic electromagnetism; Wave propagation; Energy of electromagnetic waves; Basic electronics concepts; Understanding of frequency bands; Maxwell's equations (basic understanding)"	intermediate	5	0.8	Understanding wave properties; Knowledge of electromagnetic spectrum; Applications in real-world technology; Basic antenna theory; Signal propagation concepts	understand	0.8	explaining; describing; interpreting; classifying	NGSS: HS-PS4-5; AP Physics 2: 6.F.4; AP Physics C: E&M: 6.E	Engineering (strong); Mathematics (strong); Computer Science (strong); Biology (moderate); Geography (moderate); Environmental Science (weak)
Unit 7	Electricity and Magnetism	7.81	Infrared Light	"Thermal radiation.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Electromagnetic waves fundamentals; Wave properties (wavelength, frequency, amplitude); Energy and temperature relationship; Basic atomic structure; Electromagnetic spectrum basics; Black body radiation concepts; Conservation of energy"	intermediate	6	0.85	Abstract nature of electromagnetic waves; Mathematical relationships between temperature and radiation; Connection between thermal energy and electromagnetic radiation; Multiple applications across different fields; Need to understand both wave and particle nature	understand	0.9	explaining thermal radiation concepts; describing infrared wavelengths; interpreting relationships between temperature and IR emission; classifying electromagnetic waves	NGSS: HS-PS4-4; NGSS: HS-PS4-1; AP Physics 2: 6.F.4	Chemistry (strong); Biology (strong); Mathematics (moderate); Earth Science (strong); Engineering (strong)
Unit 7	Electricity and Magnetism	7.82	Visible Light	"Visual spectrum.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Wave properties (wavelength, frequency, amplitude); Electromagnetic waves fundamentals; Energy of waves; Electromagnetic spectrum basics; Nature of light; Basic optics concepts; Mathematical concepts (scientific notation, unit conversion)"	beginner	2	0.9	Basic wavelength and frequency concepts; Color spectrum memorization; Simple energy relationships; Everyday observable phenomena	understand	0.9	interpreting; explaining; classifying; describing	NGSS: HS-PS4-1; NGSS: HS-PS4-3; AP Physics 2: 6.B.4; AP Physics 2: 6.F.4	Biology (strong); Chemistry (strong); Mathematics (moderate); Art (strong); Psychology (moderate)
Unit 7	Electricity and Magnetism	7.83	Ultraviolet Light	"High-energy uses.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Electromagnetic waves fundamentals; Wave properties (frequency, wavelength, amplitude); Energy of photons (E=hf); Electromagnetic spectrum basics; Basic atomic structure; Basic understanding of light; Energy levels in atoms"	intermediate	6	0.85	Abstract nature of electromagnetic waves; Understanding of energy levels and photon energy; Applications across multiple fields; Mathematical relationships with frequency and energy; Health and safety considerations	understand	0.85	explaining high-energy applications; describing effects of UV light; interpreting electromagnetic spectrum characteristics; classifying UV light types	NGSS: HS-PS4-4; NGSS: HS-PS4-3; AP Physics 2: 6.F.4	Chemistry (strong); Biology (strong); Mathematics (moderate); Environmental Science (strong); Medicine (strong)
Unit 7	Electricity and Magnetism	7.84	X-Rays	"Imaging, analysis.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Wave properties (wavelength, frequency, energy); Electromagnetic spectrum basics; Atomic structure; Energy levels in atoms; Basic quantum mechanics concepts; Properties of electromagnetic radiation; Wave-particle duality; Basic electricity and magnetism"	intermediate	6	0.85	Abstract wave-particle nature; Complex electromagnetic interactions; Mathematical modeling of radiation; Safety considerations; Technical applications understanding	analyze	0.85	interpreting X-ray images; differentiating between types of X-rays; examining X-ray spectra; relating X-ray properties to applications	NGSS: HS-PS4-3; NGSS: HS-PS4-4; AP Physics 2: 6.F.4	Biology (strong); Chemistry (strong); Mathematics (moderate); Computer Science (moderate); Materials Science (strong); Archaeology (moderate)
Unit 7	Electricity and Magnetism	7.85	Gamma Rays	"High-energy applications.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 15.1: The Electromagnetic Spectrum; College Physics 2e, Chapter 24.3: The Electromagnetic Spectrum"	undergraduate	Yes	"Basic atomic structure; Electromagnetic waves and spectrum; Wave properties (frequency, wavelength, energy); Nuclear physics basics; Conservation of energy; Scientific notation; Basic calculus (for undergraduate level); Quantum mechanics basics (for undergraduate level)"	advanced	8	0.9	Requires strong foundation in quantum physics; Involves complex mathematical concepts; Abstract nature of electromagnetic radiation; High-energy nuclear processes; Applications involve sophisticated technology; Interaction with matter is complex	understand	0.85	describing high-energy applications; explaining characteristics of gamma rays; interpreting electromagnetic spectrum relationships; classifying radiation types	NGSS: HS-PS4-3; AP Physics 2: 3.B.3; AP Physics C: E&M: 6.E	Medicine/Biology (strong); Chemistry (strong); Mathematics (moderate); Astronomy (strong); Engineering (moderate)
